Order ID,Item Description,Weight (kg),Volume (m³),Origin City,Destination City,Urgency Level,Preferred Delivery Time (days),Distance (km),Budget (PHP),Special Requirements,Freight Mode Used,Reason for Freight Mode Chosen
1,Fresh Tuna,200,0.8,General Santos,Cebu City,High,1,700,"15,000",Requires refrigeration,Air,Chose air for speed due to perishable goods
2,Electronics Parts,100,0.3,Manila,Davao City,Medium,3,960,"10,000","Fragile, fast delivery",Air,"Used air to prevent delays, as components were for urgent repair"
3,Rice,5000,2,Nueva Ecija,Iloilo City,Low,7,450,"8,000","Bulk cargo, non-perishable",Sea,Cost-efficiency for bulk shipment over long distance
4,Furniture Set,300,4.5,Cebu City,Manila,Medium,4,570,"12,000",Bulky but not urgent,Sea,"Sea was more economical for bulky, low-urgency items"
5,Fresh Vegetables,150,0.5,Benguet,Quezon City,High,1,300,"5,000",Requires refrigeration,Land,Land chosen due to proximity and rapid delivery need
6,Clothing,200,0.8,Manila,Cebu City,Low,5,800,"6,000",Regular shipping,Sea,Sea offered lower cost for low-priority items
7,Construction Materials,8000,15,Davao City,Manila,Low,10,960,"30,000","Heavy, durable materials",Sea,Sea chosen to handle heavy load affordably
8,Medical Supplies,50,0.1,Manila,Cagayan de Oro,High,1,790,"10,000","High priority, fragile",Air,Air used to ensure timely and safe delivery of critical supplies
9,Books,300,1.2,Manila,Bacolod City,Medium,5,610,"4,000",Non-urgent shipping,Sea,Cost-effective option for non-perishable items
10,Livestock Feed,6000,3,Cebu City,Davao City,Low,6,400,"15,000",Bulk cargo,Sea,"Bulk load, with low urgency; sea most economical"
11,Pharmaceuticals,20,0.05,Manila,Iloilo City,High,1,450,"7,000","Fragile, temp-controlled",Air,Chose air to maintain safe handling and speed
12,Household Appliances,800,2,Bacolod City,Manila,Medium,4,610,"12,000","Fragile, bulky",Sea,"Sea option saved cost for fragile, mid-priority items"
13,Industrial Machinery,5000,10,Davao City,Manila,Low,15,960,"20,000",Heavy load,Sea,Sea was cheapest for very heavy and non-urgent cargo
14,Office Supplies,100,0.2,Manila,Cebu City,Medium,4,800,"8,000",Regular cargo,Sea,Sea preferred for affordability for non-urgent delivery
15,High-end Perfumes,50,0.1,Manila,Cagayan de Oro,High,2,790,"9,000",Fragile,Air,Air used to prevent damage during transit
16,Frozen Meat,500,1,Cebu City,Zamboanga City,High,2,820,"12,000",Refrigerated,Sea,Sea freight used due to high refrigeration capacity
17,Handcrafted Furniture,300,4,Pampanga,Davao City,Medium,6,"1,000","18,000","Fragile, bulky",Sea,"Sea provided cost-efficiency for fragile, low-priority furniture"
18,Fresh Flowers,100,0.2,Baguio City,Manila,High,1,250,"5,000",Fragile,Land,Land preferred for same-day delivery of perishables
19,Seafood,800,1.5,General Santos,Manila,High,1,"1,100","20,000",Requires refrigeration,Air,Used air for quick delivery to maintain freshness
20,Agricultural Equipment,2000,5,Batangas,Davao City,Low,7,"1,200","25,000","Heavy, non-urgent",Sea,Chose sea for heavy load; low urgency allowed slower transit
